city,model,RMSE,MAE,R2
Delhi,LSTM,22.85406903988188,17.79361915588379,0.07120734453201294
Delhi,Transformer,25.115275004949055,20.524160385131836,-0.12167644500732422
Delhi,CNN-LSTM,25.86178590536322,20.30763816833496,-0.189347505569458
Delhi,GRU,26.434804503914084,18.939437866210938,-0.2426360845565796
