date,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,cloud_cover,wind_speed_10m,wind_direction_10m,visibility,vapor_pressure_deficit,city
2022-08-04,43.59473684210526,63.178947368421056,750.1052631578947,52.6,60.93157894736842,69.63157894736842,107.26315789473684,31.445833333333336,61.458333333333336,23.020833333333332,35.5375,0.3458333333333334,0.0,95.0,10.700000000000001,112.08333333333333,21169.166666666668,1.8083333333333333,Delhi
2022-08-05,43.92916666666667,63.75,918.5416666666666,49.0375,43.50416666666666,72.20833333333333,107.26315789473684,31.329166666666666,63.291666666666664,23.287499999999998,35.387499999999996,0.625,0.0,73.25,12.554166666666667,114.625,19069.166666666668,1.7479166666666668,Delhi
2022-08-06,73.74583333333334,107.05,1395.875,81.20416666666667,69.60833333333333,105.29166666666667,160.16666666666666,33.11666666666667,51.541666666666664,21.575,36.708333333333336,0.0,0.0,63.583333333333336,8.641666666666667,127.08333333333333,24140.0,2.5124999999999997,Delhi
2022-08-07,42.170833333333334,61.02916666666667,902.1666666666666,65.80416666666666,48.50416666666666,64.83333333333333,153.04166666666666,30.804166666666664,64.25,23.116666666666664,34.94583333333333,0.37083333333333335,0.17500000000000002,98.625,10.604166666666666,116.25,21180.0,1.6316666666666666,Delhi
2022-08-08,52.73333333333333,75.85000000000001,1179.0416666666667,65.0,57.987500000000004,75.33333333333333,119.66666666666667,31.5,61.0,22.745833333333334,35.5875,0.0,0.0,71.91666666666667,9.762500000000001,95.125,24140.0,1.9000000000000001,Delhi
2022-08-09,59.8375,86.25416666666666,1266.125,55.145833333333336,52.98333333333333,67.45833333333333,151.625,34.07083333333333,53.166666666666664,22.808333333333334,37.85,0.04583333333333334,0.0,38.5,11.65,86.79166666666667,24140.0,2.6125000000000003,Delhi
2022-08-10,46.541666666666664,68.37916666666666,1059.5416666666667,46.34166666666667,43.59583333333333,60.166666666666664,150.16666666666666,34.9125,46.708333333333336,21.454166666666666,37.625,0.0,0.0,23.625,15.341666666666667,110.83333333333333,24140.0,3.080833333333333,Delhi
2022-08-11,27.416666666666668,44.57083333333333,531.75,31.474999999999998,30.724999999999998,59.875,91.83333333333333,30.7625,58.833333333333336,21.7375,32.725,0.04583333333333334,0.04583333333333334,88.16666666666667,19.383333333333333,85.66666666666667,24140.0,1.8341666666666665,Delhi
2022-08-12,31.6125,47.80416666666667,668.2916666666666,36.666666666666664,33.137499999999996,51.791666666666664,91.83333333333333,32.8125,49.625,20.6125,34.574999999999996,0.0,0.0,28.75,18.425,88.0,24140.0,2.6108333333333333,Delhi
2022-08-13,32.675000000000004,53.3125,586.0416666666666,40.604166666666664,38.137499999999996,67.91666666666667,87.125,33.262499999999996,51.541666666666664,21.662499999999998,35.858333333333334,0.0,0.0,12.833333333333334,15.9125,121.91666666666667,24140.0,2.5558333333333336,Delhi
2022-08-14,53.270833333333336,79.36666666666666,1147.0833333333333,60.47083333333333,60.65,53.208333333333336,119.66666666666667,32.65,55.166666666666664,22.320833333333336,36.645833333333336,0.19999999999999998,0.0,47.875,8.737499999999999,131.625,22964.166666666668,2.2583333333333333,Delhi
2022-08-15,37.0625,55.37916666666666,605.8333333333334,39.32083333333333,36.5625,61.25,134.95833333333334,29.816666666666666,64.04166666666667,22.145833333333332,32.4625,0.008333333333333333,0.0,98.95833333333333,16.0625,74.41666666666667,24017.5,1.54125,Delhi
2022-08-16,24.05,46.550000000000004,386.1666666666667,30.570833333333336,28.78333333333333,50.708333333333336,83.54166666666667,30.537499999999998,60.083333333333336,21.745833333333334,31.833333333333332,0.03333333333333333,0.004166666666666667,51.625,24.787499999999998,95.41666666666667,22914.166666666668,1.7945833333333334,Delhi
2022-08-17,26.370833333333334,50.4375,589.0416666666666,35.574999999999996,37.5375,45.541666666666664,71.33333333333333,30.90833333333333,59.208333333333336,21.629166666666666,33.262499999999996,0.0,0.0,20.291666666666668,17.708333333333332,147.375,23835.833333333332,1.9295833333333334,Delhi
2022-08-18,41.362500000000004,63.270833333333336,1061.7916666666667,51.92083333333333,42.11666666666667,45.958333333333336,105.45833333333333,32.30416666666667,54.916666666666664,21.791666666666668,35.666666666666664,0.0,0.0,35.666666666666664,11.795833333333334,207.5,24140.0,2.2616666666666667,Delhi
2022-08-19,24.05,45.525,530.4166666666666,33.079166666666666,20.816666666666666,49.666666666666664,92.70833333333333,33.62916666666667,48.666666666666664,21.150000000000002,36.49583333333333,0.0,0.0,82.29166666666667,12.270833333333334,278.875,24140.0,2.717083333333333,Delhi
2022-08-20,34.80833333333333,61.25416666666666,551.375,42.25833333333333,28.879166666666666,53.541666666666664,84.04166666666667,31.40416666666667,58.583333333333336,22.150000000000002,35.0,0.1625,0.0,89.20833333333333,10.608333333333333,147.08333333333334,23835.0,1.9404166666666667,Delhi
2022-08-21,43.44583333333333,71.35416666666667,686.2083333333334,51.59166666666667,34.108333333333334,62.333333333333336,114.54166666666667,31.650000000000002,58.916666666666664,22.337500000000002,35.891666666666666,0.008333333333333333,0.0,73.875,6.625,116.04166666666667,24020.833333333332,1.9974999999999998,Delhi
2022-08-22,41.44166666666667,64.17916666666666,611.1666666666666,41.11666666666667,33.75,79.25,118.70833333333333,33.237500000000004,52.083333333333336,21.5625,36.0875,0.08333333333333333,0.0,88.58333333333333,14.504166666666668,100.20833333333333,23476.666666666668,2.5775,Delhi
